Timestamp,Message
1770052553.3070536,[DECEL] Step:1150 Hz:2016
1770052553.4130688,[DECEL] Step:1250 Hz:1634
1770052553.5240674,[DECEL] Step:1350 Hz:1275
1770052553.6318564,[DECEL] Step:1450 Hz:949
1770052553.7387323,[DECEL] Step:1550 Hz:665
1770052553.8430712,[DECEL] Step:1650 Hz:428
1770052553.9598355,[DECEL] Step:1750 Hz:246
1770052554.0688035,[DECEL] Step:1850 Hz:121
1770052554.1862493,[DECEL] Step:1950 Hz:58
1770052554.3016677,[DEBUG] IDLE (Motor OFF)
