Time_ms,Message,Hz
42870,[ACCEL] Step:5 Hz:50,50
42970,[ACCEL] Step:105 Hz:84,84
43069,[ACCEL] Step:205 Hz:181,181
43170,[ACCEL] Step:305 Hz:338,338
43270,[ACCEL] Step:405 Hz:551,551
43369,[ACCEL] Step:505 Hz:815,815
43570,[ACCEL] Step:605 Hz:1123,1123
43669,[ACCEL] Step:705 Hz:1468,1468
43769,[ACCEL] Step:805 Hz:1841,1841
43869,[ACCEL] Step:905 Hz:2233,2233
43970,[ACCEL] Step:1005 Hz:2634,2634
44070,[ACCEL] Step:1105 Hz:3035,3035
44270,[ACCEL] Step:1205 Hz:3426,3426
44369,[ACCEL] Step:1305 Hz:3796,3796
44469,[ACCEL] Step:1405 Hz:4138,4138
44569,[ACCEL] Step:1505 Hz:4442,4442
44670,[ACCEL] Step:1605 Hz:4700,4700
44769,[ACCEL] Step:1705 Hz:4908,4908
44969,[ACCEL] Step:1805 Hz:5059,5059
45069,[ACCEL] Step:1905 Hz:5150,5150
45169,[DEBUG] RUN START,0
50669,[DECEL] Step:16 Hz:5179,5179
50768,[DECEL] Step:116 Hz:5137,5137
50869,[DECEL] Step:216 Hz:5033,5033
50969,[DECEL] Step:316 Hz:4870,4870
51069,[DECEL] Step:416 Hz:4651,4651
51269,[DECEL] Step:516 Hz:4382,4382
51369,[DECEL] Step:616 Hz:4070,4070
51469,[DECEL] Step:716 Hz:3721,3721
51569,[DECEL] Step:816 Hz:3346,3346
51668,[DECEL] Step:916 Hz:2952,2952
51768,[DECEL] Step:1016 Hz:2551,2551
51969,[DECEL] Step:1116 Hz:2150,2150
52069,[DECEL] Step:1216 Hz:1761,1761
52169,[DECEL] Step:1316 Hz:1394,1394
52269,[DECEL] Step:1416 Hz:1056,1056
52369,[DECEL] Step:1516 Hz:757,757
52469,[DECEL] Step:1616 Hz:503,503
52669,[DECEL] Step:1716 Hz:301,301
52769,[DECEL] Step:1816 Hz:157,157
52869,[DECEL] Step:1916 Hz:73,73
52968,[DEBUG] IDLE (Motor OFF),0
64468,[ACCEL] Step:21 Hz:51,51
64568,[ACCEL] Step:121 Hz:96,96
64668,[ACCEL] Step:221 Hz:202,202
64869,[ACCEL] Step:321 Hz:369,369
64969,[ACCEL] Step:421 Hz:590,590
65068,[ACCEL] Step:521 Hz:861,861
65169,[ACCEL] Step:621 Hz:1176,1176
65269,[ACCEL] Step:721 Hz:1526,1526
65369,[ACCEL] Step:821 Hz:1902,1902
65569,[ACCEL] Step:921 Hz:2297,2297
65669,[ACCEL] Step:1021 Hz:2699,2699
65769,[ACCEL] Step:1121 Hz:3098,3098
65869,[ACCEL] Step:1221 Hz:3486,3486
65968,[ACCEL] Step:1321 Hz:3853,3853
66068,[ACCEL] Step:1421 Hz:4189,4189
66268,[ACCEL] Step:1521 Hz:4486,4486
66369,[ACCEL] Step:1621 Hz:4737,4737
66469,[ACCEL] Step:1721 Hz:4936,4936
66569,[ACCEL] Step:1821 Hz:5078,5078
66669,[ACCEL] Step:1921 Hz:5159,5159
66769,[DEBUG] RUN START,0
72768,[DECEL] Step:7 Hz:5179,5179
72868,[DECEL] Step:107 Hz:5143,5143
72969,[DECEL] Step:207 Hz:5045,5045
73068,[DECEL] Step:307 Hz:4887,4887
73168,[DECEL] Step:407 Hz:4673,4673
73369,[DECEL] Step:507 Hz:4408,4408
73469,[DECEL] Step:607 Hz:4099,4099
73568,[DECEL] Step:707 Hz:3754,3754
73669,[DECEL] Step:807 Hz:3381,3381
73769,[DECEL] Step:907 Hz:2988,2988
73969,[DECEL] Step:1007 Hz:2587,2587
74069,[DECEL] Step:1107 Hz:2186,2186
74168,[DECEL] Step:1207 Hz:1796,1796
74269,[DECEL] Step:1307 Hz:1426,1426
74369,[DECEL] Step:1407 Hz:1085,1085
74469,[DECEL] Step:1507 Hz:782,782
74669,[DECEL] Step:1607 Hz:524,524
74768,[DECEL] Step:1707 Hz:317,317
74869,[DECEL] Step:1807 Hz:167,167
74969,[DECEL] Step:1907 Hz:78,78
75069,[DEBUG] IDLE (Motor OFF),0
139068,[ACCEL] Step:43 Hz:55,55
139268,[ACCEL] Step:143 Hz:114,114
139368,[ACCEL] Step:243 Hz:234,234
139469,[ACCEL] Step:343 Hz:413,413
139568,[ACCEL] Step:443 Hz:646,646
139669,[ACCEL] Step:543 Hz:927,927
139769,[ACCEL] Step:643 Hz:1250,1250
139968,[ACCEL] Step:743 Hz:1607,1607
140069,[ACCEL] Step:843 Hz:1988,1988
140169,[ACCEL] Step:943 Hz:2385,2385
140268,[ACCEL] Step:1043 Hz:2787,2787
140369,[ACCEL] Step:1143 Hz:3185,3185
140469,[ACCEL] Step:1243 Hz:3569,3569
140669,[ACCEL] Step:1343 Hz:3930,3930
140769,[ACCEL] Step:1443 Hz:4258,4258
140869,[ACCEL] Step:1543 Hz:4546,4546
140969,[ACCEL] Step:1643 Hz:4786,4786
141069,[ACCEL] Step:1743 Hz:4972,4972
141268,[ACCEL] Step:1843 Hz:5101,5101
141368,[ACCEL] Step:1943 Hz:5168,5168
141368,[DEBUG] RUN START,0
142568,[DECEL] Step:19 Hz:5178,5178
142769,[DECEL] Step:119 Hz:5135,5135
142868,[DECEL] Step:219 Hz:5029,5029
142969,[DECEL] Step:319 Hz:4864,4864
143069,[DECEL] Step:419 Hz:4644,4644
143169,[DECEL] Step:519 Hz:4373,4373
143369,[DECEL] Step:619 Hz:4060,4060
143469,[DECEL] Step:719 Hz:3711,3711
143568,[DECEL] Step:819 Hz:3334,3334
143668,[DECEL] Step:919 Hz:2940,2940
143769,[DECEL] Step:1019 Hz:2538,2538
143869,[DECEL] Step:1119 Hz:2138,2138
144069,[DECEL] Step:1219 Hz:1750,1750
144168,[DECEL] Step:1319 Hz:1383,1383
144269,[DECEL] Step:1419 Hz:1046,1046
144369,[DECEL] Step:1519 Hz:748,748
144469,[DECEL] Step:1619 Hz:496,496
144569,[DECEL] Step:1719 Hz:296,296
144769,[DECEL] Step:1819 Hz:153,153
144869,[DECEL] Step:1919 Hz:71,71
144968,[DEBUG] IDLE (Motor OFF),0
176268,[ACCEL] Step:6 Hz:50,50
176367,[ACCEL] Step:106 Hz:85,85
176468,[ACCEL] Step:206 Hz:183,183
176568,[ACCEL] Step:306 Hz:340,340
176668,[ACCEL] Step:406 Hz:554,554
176768,[ACCEL] Step:506 Hz:818,818
176967,[ACCEL] Step:606 Hz:1126,1126
177068,[ACCEL] Step:706 Hz:1471,1471
177167,[ACCEL] Step:806 Hz:1845,1845
177267,[ACCEL] Step:906 Hz:2237,2237
177368,[ACCEL] Step:1006 Hz:2638,2638
177467,[ACCEL] Step:1106 Hz:3039,3039
177667,[ACCEL] Step:1206 Hz:3429,3429
177767,[ACCEL] Step:1306 Hz:3800,3800
177867,[ACCEL] Step:1406 Hz:4141,4141
177968,[ACCEL] Step:1506 Hz:4444,4444
178068,[ACCEL] Step:1606 Hz:4703,4703
178168,[ACCEL] Step:1706 Hz:4910,4910
