Time_ms,Temp_C,Setpoint_C,Heater_Duty,Speed_mm_s,Error_C
8313,204.84,250.00,100,3.00,45.16
8861,204.66,250.00,100,3.00,45.34
9484,204.51,250.00,100,3.00,45.49
10032,204.28,250.00,100,3.00,45.72
10580,204.05,250.00,100,3.00,45.95
11128,203.79,250.00,100,3.00,46.21
11676,203.51,250.00,100,3.00,46.49
2171,199.16,250.00,100,3.00,50.84
2270,199.17,250.00,100,3.00,50.83
2370,199.16,250.00,100,3.00,50.84
2470,199.16,250.00,100,3.00,50.84
2570,199.16,250.00,100,3.00,50.84
2670,199.13,250.00,100,3.00,50.87
2770,199.10,250.00,100,3.00,50.90
2870,199.08,250.00,100,3.00,50.92
2970,199.05,250.00,100,3.00,50.95
3070,199.02,250.00,100,3.00,50.98
3170,198.99,250.00,100,3.00,51.01
3270,198.96,250.00,100,3.00,51.04
3370,198.93,250.00,100,3.00,51.07
3470,198.90,250.00,100,3.00,51.10
3570,198.86,250.00,100,3.00,51.14
3670,198.83,250.00,100,3.00,51.17
3770,198.81,250.00,100,3.00,51.19
3870,198.78,250.00,100,3.00,51.22
3970,198.75,250.00,100,3.00,51.25
4070,198.72,250.00,100,3.00,51.28
4170,198.69,250.00,100,3.00,51.31
4270,198.64,250.00,100,3.00,51.36
4370,198.60,250.00,100,3.00,51.40
4470,198.56,250.00,100,3.00,51.44
4570,198.53,250.00,100,3.00,51.47
4670,198.51,250.00,100,3.00,51.49
4770,198.46,250.00,100,3.00,51.54
4870,198.41,250.00,100,3.00,51.59
4970,198.38,250.00,100,3.00,51.62
5070,198.34,250.00,100,3.00,51.66
5170,198.30,250.00,100,3.00,51.70
5270,198.27,250.00,100,3.00,51.73
5370,198.22,250.00,100,3.00,51.78
5470,198.19,250.00,100,3.00,51.81
5570,198.16,250.00,100,3.00,51.84
5670,198.12,250.00,100,3.00,51.88
5770,198.09,250.00,100,3.00,51.91
5870,198.06,250.00,100,3.00,51.94
5970,198.04,250.00,100,3.00,51.96
6070,198.02,250.00,100,3.00,51.98
2171,197.60,250.00,100,3.00,52.40
2270,197.61,250.00,100,3.00,52.39
2370,197.62,250.00,100,3.00,52.38
2470,197.64,250.00,100,3.00,52.36
2570,197.67,250.00,100,3.00,52.33
2670,197.68,250.00,100,3.00,52.32
2770,197.67,250.00,100,3.00,52.33
2870,197.68,250.00,100,3.00,52.32
2970,197.70,250.00,100,3.00,52.30
3070,197.70,250.00,100,3.00,52.30
3170,197.72,250.00,100,3.00,52.28
3270,197.73,250.00,100,3.00,52.27
3370,197.74,250.00,100,3.00,52.26
3470,197.75,250.00,100,3.00,52.25
3570,197.76,250.00,100,3.00,52.24
3670,197.77,250.00,100,3.00,52.23
3770,197.80,250.00,100,3.00,52.20
3870,197.83,250.00,100,3.00,52.17
3970,197.84,250.00,100,3.00,52.16
4070,197.86,250.00,100,3.00,52.14
4170,197.88,250.00,100,3.00,52.12
4270,197.88,250.00,100,3.00,52.12
4370,197.91,250.00,100,3.00,52.09
4470,197.92,250.00,100,3.00,52.08
4570,197.94,250.00,100,3.00,52.06
4670,197.98,250.00,100,3.00,52.02
4770,198.00,250.00,100,3.00,52.00
4870,198.01,250.00,100,3.00,51.99
4970,198.02,250.00,100,3.00,51.98
5070,198.04,250.00,100,3.00,51.96
5170,198.06,250.00,100,3.00,51.94
5270,198.09,250.00,100,3.00,51.91
5370,198.10,250.00,100,3.00,51.90
5470,198.12,250.00,100,3.00,51.88
5570,198.16,250.00,100,3.00,51.84
5670,198.19,250.00,100,3.00,51.81
5770,198.22,250.00,100,3.00,51.78
5870,198.25,250.00,100,3.00,51.75
5970,198.29,250.00,100,3.00,51.71
6070,198.32,250.00,100,3.00,51.68
6170,198.36,250.00,100,3.00,51.64
6270,198.38,250.00,100,3.00,51.62
6370,198.40,250.00,100,3.00,51.60
6470,198.43,250.00,100,3.00,51.57
6570,198.45,250.00,100,3.00,51.55
6670,198.49,250.00,100,3.00,51.51
6770,198.53,250.00,100,3.00,51.47
6870,198.55,250.00,100,3.00,51.45
6970,198.57,250.00,100,3.00,51.43
7070,198.60,250.00,100,3.00,51.40
7170,198.64,250.00,100,3.00,51.36
7270,198.67,250.00,100,3.00,51.33
7370,198.70,250.00,100,3.00,51.30
7470,198.73,250.00,100,3.00,51.27
7570,198.77,250.00,100,3.00,51.23
7670,198.81,250.00,100,3.00,51.19
7770,198.84,250.00,100,3.00,51.16
7870,198.87,250.00,100,3.00,51.13
7970,198.93,250.00,100,3.00,51.07
8070,198.97,250.00,100,3.00,51.03
8170,199.02,250.00,100,3.00,50.98
8270,199.07,250.00,100,3.00,50.93
8370,199.12,250.00,100,3.00,50.88
8470,199.15,250.00,100,3.00,50.85
8570,199.20,250.00,100,3.00,50.80
8670,199.25,250.00,100,3.00,50.75
8770,199.30,250.00,100,3.00,50.70
8870,199.37,250.00,100,3.00,50.63
8970,199.42,250.00,100,3.00,50.58
9070,199.46,250.00,100,3.00,50.54
9170,199.50,250.00,100,3.00,50.50
9270,199.56,250.00,100,3.00,50.44
9370,199.61,250.00,100,3.00,50.39
9470,199.67,250.00,100,3.00,50.33
9570,199.72,250.00,100,3.00,50.28
9670,199.78,250.00,100,3.00,50.22
9770,199.85,250.00,100,3.00,50.15
9870,199.90,250.00,100,3.00,50.10
9970,199.96,250.00,100,3.00,50.04
10070,200.03,250.00,100,3.00,49.97
10170,200.11,250.00,100,3.00,49.89
10270,200.17,250.00,100,3.00,49.83
10370,200.24,250.00,100,3.00,49.76
10470,200.31,250.00,100,3.00,49.69
10570,200.36,250.00,100,3.00,49.64
10670,200.43,250.00,100,3.00,49.57
10770,200.50,250.00,100,3.00,49.50
10870,200.59,250.00,100,3.00,49.41
10970,200.69,250.00,100,3.00,49.31
11070,200.75,250.00,100,3.00,49.25
11170,200.81,250.00,100,3.00,49.19
11270,200.88,250.00,100,3.00,49.12
11370,200.97,250.00,100,3.00,49.03
11470,201.04,250.00,100,3.00,48.96
11570,201.12,250.00,100,3.00,48.88
11670,201.19,250.00,100,3.00,48.81
11770,201.27,250.00,100,3.00,48.73
11870,201.36,250.00,100,3.00,48.64
11970,201.44,250.00,100,3.00,48.56
12070,201.51,250.00,100,3.00,48.49
12170,201.60,250.00,100,3.00,48.40
12270,201.70,250.00,100,3.00,48.30
12370,201.79,250.00,100,3.00,48.21
12470,201.88,250.00,100,3.00,48.12
12570,201.96,250.00,100,3.00,48.04
12670,202.03,250.00,100,3.00,47.97
12770,202.12,250.00,100,3.00,47.88
12870,202.20,250.00,100,3.00,47.80
12970,202.30,250.00,100,3.00,47.70
13070,202.42,250.00,100,3.00,47.58
13170,202.50,250.00,100,3.00,47.50
13270,202.58,250.00,100,3.00,47.42
13370,202.67,250.00,100,3.00,47.33
13470,202.76,250.00,100,3.00,47.24
13570,202.86,250.00,100,3.00,47.14
13670,202.95,250.00,100,3.00,47.05
13770,203.03,250.00,100,3.00,46.97
13870,203.13,250.00,100,3.00,46.87
13970,203.23,250.00,100,3.00,46.77
14070,203.32,250.00,100,3.00,46.68
14170,203.42,250.00,100,3.00,46.58
14270,203.52,250.00,100,3.00,46.48
14370,203.64,250.00,100,3.00,46.36
14470,203.75,250.00,100,3.00,46.25
14570,203.85,250.00,100,3.00,46.15
14670,203.96,250.00,100,3.00,46.04
14770,204.05,250.00,100,3.00,45.95
14870,204.18,250.00,100,3.00,45.82
14970,204.30,250.00,100,3.00,45.70
15070,204.42,250.00,100,3.00,45.58
15170,204.56,250.00,100,3.00,45.44
15270,204.67,250.00,100,3.00,45.33
15370,204.81,250.00,100,3.00,45.19
15470,204.90,250.00,100,3.00,45.10
15570,205.02,250.00,100,3.00,44.98
15670,205.14,250.00,100,3.00,44.86
15770,205.24,250.00,100,3.00,44.76
15870,205.34,250.00,100,3.00,44.66
15970,205.44,250.00,100,3.00,44.56
16070,205.55,250.00,100,3.00,44.45
16170,205.66,250.00,100,3.00,44.34
16270,205.75,250.00,100,3.00,44.25
16370,205.85,250.00,100,3.00,44.15
16470,205.95,250.00,100,3.00,44.05
16570,206.04,250.00,100,3.00,43.96
16670,206.15,250.00,100,3.00,43.85
16770,206.27,250.00,100,3.00,43.73
16870,206.36,250.00,100,3.00,43.64
16970,206.48,250.00,100,3.00,43.52
17070,206.59,250.00,100,3.00,43.41
17170,206.71,250.00,100,3.00,43.29
17270,206.82,250.00,100,3.00,43.18
17370,206.94,250.00,100,3.00,43.06
17470,207.08,250.00,100,3.00,42.92
17570,207.19,250.00,100,3.00,42.81
17670,207.31,250.00,100,3.00,42.69
17770,207.44,250.00,100,3.00,42.56
17870,207.58,250.00,100,3.00,42.42
17970,207.70,250.00,100,3.00,42.30
18070,207.84,250.00,100,3.00,42.16
18170,207.96,250.00,100,3.00,42.04
18270,208.08,250.00,100,3.00,41.92
18370,208.21,250.00,100,3.00,41.79
18470,208.34,250.00,100,3.00,41.66
18570,208.47,250.00,100,3.00,41.53
18670,208.59,250.00,100,3.00,41.41
18770,208.71,250.00,100,3.00,41.29
18870,208.86,250.00,100,3.00,41.14
18970,209.00,250.00,100,3.00,41.00
19070,209.14,250.00,100,3.00,40.86
19170,209.28,250.00,100,3.00,40.72
19270,209.39,250.00,100,3.00,40.61
19370,209.52,250.00,100,3.00,40.48
19470,209.65,250.00,100,3.00,40.35
19570,209.77,250.00,100,3.00,40.23
19670,209.90,250.00,100,3.00,40.10
19770,210.01,250.00,100,3.00,39.99
19870,210.13,250.00,100,3.00,39.87
19970,210.27,250.00,100,3.00,39.73
20070,210.38,250.00,100,3.00,39.62
20170,210.53,250.00,100,3.00,39.47
20270,210.64,250.00,100,3.00,39.36
20370,210.77,250.00,100,3.00,39.23
20470,210.89,250.00,100,3.00,39.11
20570,211.00,250.00,100,3.00,39.00
20670,211.14,250.00,100,3.00,38.86
20770,211.27,250.00,100,3.00,38.73
20870,211.40,250.00,100,3.00,38.60
20970,211.56,250.00,100,3.00,38.44
21070,211.69,250.00,100,3.00,38.31
21170,211.84,250.00,100,3.00,38.16
21270,211.97,250.00,100,3.00,38.03
21370,212.08,250.00,100,3.00,37.92
21470,212.21,250.00,100,3.00,37.79
21570,212.36,250.00,100,3.00,37.64
21670,212.48,250.00,100,3.00,37.52
21770,212.63,250.00,100,3.00,37.37
21870,212.74,250.00,100,3.00,37.26
21970,212.87,250.00,100,3.00,37.13
22070,213.00,250.00,100,3.00,37.00
22170,213.12,250.00,100,3.00,36.88
22270,213.27,250.00,100,3.00,36.73
22370,213.38,250.00,100,3.00,36.62
22470,213.50,250.00,100,3.00,36.50
22570,213.64,250.00,100,3.00,36.36
22670,213.76,250.00,100,3.00,36.24
22770,213.87,250.00,100,3.00,36.13
22870,213.97,250.00,100,3.00,36.03
22970,214.09,250.00,100,3.00,35.91
23070,214.21,250.00,100,3.00,35.79
23170,214.34,250.00,100,3.00,35.66
23270,214.46,250.00,100,3.00,35.54
23370,214.56,250.00,100,3.00,35.44
23470,214.72,250.00,100,3.00,35.28
23570,214.88,250.00,100,3.00,35.12
23670,215.06,250.00,100,3.00,34.94
23770,215.18,250.00,100,3.00,34.82
23870,215.29,250.00,100,3.00,34.71
23970,215.44,250.00,100,3.00,34.56
24070,215.57,250.00,100,3.00,34.43
24170,215.68,250.00,100,3.00,34.32
24270,215.79,250.00,100,3.00,34.21
24370,215.90,250.00,100,3.00,34.10
24470,216.02,250.00,100,3.00,33.98
24570,216.14,250.00,100,3.00,33.86
24670,216.27,250.00,100,3.00,33.73
24770,216.41,250.00,100,3.00,33.59
24870,216.56,250.00,100,3.00,33.44
24970,216.70,250.00,100,3.00,33.30
25070,216.83,250.00,100,3.00,33.17
25170,216.98,250.00,100,3.00,33.02
25270,217.10,250.00,100,3.00,32.90
25370,217.25,250.00,100,3.00,32.75
25470,217.37,250.00,100,3.00,32.63
25570,217.52,250.00,100,3.00,32.48
25670,217.68,250.00,100,3.00,32.32
25770,217.80,250.00,100,3.00,32.20
25870,217.92,250.00,100,3.00,32.08
25970,218.04,250.00,100,3.00,31.96
26070,218.17,250.00,100,3.00,31.83
26170,218.30,250.00,100,3.00,31.70
26270,218.43,250.00,100,3.00,31.57
26370,218.55,250.00,100,3.00,31.45
26470,218.68,250.00,100,3.00,31.32
26570,218.81,250.00,100,3.00,31.19
26670,218.93,250.00,100,3.00,31.07
26770,219.05,250.00,100,3.00,30.95
26870,219.18,250.00,100,3.00,30.82
26970,219.31,250.00,100,3.00,30.69
27070,219.45,250.00,100,3.00,30.55
27170,219.56,250.00,100,3.00,30.44
27270,219.69,250.00,100,3.00,30.31
27370,219.80,250.00,100,3.00,30.20
27470,219.93,250.00,100,3.00,30.07
27570,220.05,250.00,100,3.00,29.95
27670,220.18,250.00,100,3.00,29.82
27770,220.34,250.00,100,3.00,29.66
27870,220.46,250.00,100,3.00,29.54
27970,220.57,250.00,100,3.00,29.43
28070,220.68,250.00,100,3.00,29.32
28170,220.80,250.00,100,3.00,29.20
28270,220.92,250.00,100,3.00,29.08
28370,221.04,250.00,100,3.00,28.96
28470,221.15,250.00,100,3.00,28.85
