Time_ms,Message,Hz
809269,[ACCEL] Step:30 Hz:52,52
809370,[ACCEL] Step:130 Hz:103,103
809470,[ACCEL] Step:230 Hz:215,215
809570,[ACCEL] Step:330 Hz:386,386
809670,[ACCEL] Step:430 Hz:613,613
809770,[ACCEL] Step:530 Hz:888,888
809969,[ACCEL] Step:630 Hz:1206,1206
810070,[ACCEL] Step:730 Hz:1559,1559
810170,[ACCEL] Step:830 Hz:1937,1937
810269,[ACCEL] Step:930 Hz:2333,2333
810370,[ACCEL] Step:1030 Hz:2735,2735
810469,[ACCEL] Step:1130 Hz:3134,3134
810669,[ACCEL] Step:1230 Hz:3520,3520
810770,[ACCEL] Step:1330 Hz:3885,3885
810870,[ACCEL] Step:1430 Hz:4217,4217
810970,[ACCEL] Step:1530 Hz:4511,4511
811070,[ACCEL] Step:1630 Hz:4757,4757
811170,[ACCEL] Step:1730 Hz:4951,4951
811370,[ACCEL] Step:1830 Hz:5088,5088
811470,[ACCEL] Step:1930 Hz:5163,5163
811570,[DEBUG] RUN START,0
818071,[DECEL] Step:62 Hz:5167,5167
818170,[DECEL] Step:162 Hz:5097,5097
818271,[DECEL] Step:262 Hz:4965,4965
818471,[DECEL] Step:362 Hz:4776,4776
818571,[DECEL] Step:462 Hz:4533,4533
818671,[DECEL] Step:562 Hz:4243,4243
818770,[DECEL] Step:662 Hz:3913,3913
818871,[DECEL] Step:762 Hz:3552,3552
818971,[DECEL] Step:862 Hz:3167,3167
819170,[DECEL] Step:962 Hz:2768,2768
819271,[DECEL] Step:1062 Hz:2366,2366
819371,[DECEL] Step:1162 Hz:1969,1969
819471,[DECEL] Step:1262 Hz:1589,1589
819571,[DECEL] Step:1362 Hz:1234,1234
819771,[DECEL] Step:1462 Hz:913,913
819871,[DECEL] Step:1562 Hz:634,634
819971,[DECEL] Step:1662 Hz:404,404
820071,[DECEL] Step:1762 Hz:228,228
820171,[DECEL] Step:1862 Hz:111,111
820271,[DECEL] Step:1962 Hz:55,55
820371,[DEBUG] IDLE (Motor OFF),0
