Timestamp,Message
1770051988.9200146,[ACCEL] Step:88 Hz:74
1770051989.0297456,[ACCEL] Step:188 Hz:161
1770051989.1346302,[ACCEL] Step:288 Hz:307
1770051989.2432117,[ACCEL] Step:388 Hz:511
1770051989.3528123,[ACCEL] Step:488 Hz:767
1770051989.463041,[ACCEL] Step:588 Hz:1068
1770051989.5719616,[ACCEL] Step:688 Hz:1407
1770051989.7855463,[ACCEL] Step:788 Hz:1776
1770051989.8949425,[ACCEL] Step:888 Hz:2165
1770051990.0025454,[ACCEL] Step:988 Hz:2566
1770051990.1143126,[ACCEL] Step:1088 Hz:2967
1770051990.2214432,[ACCEL] Step:1188 Hz:3360
1770051990.3305478,[ACCEL] Step:1288 Hz:3735
1770051990.4378881,[ACCEL] Step:1388 Hz:4082
1770051990.5482388,[ACCEL] Step:1488 Hz:4393
1770051990.6554081,[ACCEL] Step:1588 Hz:4660
1770051990.7651255,[ACCEL] Step:1688 Hz:4877
1770051990.876349,[ACCEL] Step:1788 Hz:5038
1770051990.9869206,[ACCEL] Step:1888 Hz:5139
1770051991.0946164,[ACCEL] Step:1988 Hz:5178
1770051991.2016125,[DEBUG] RUN START
1770051995.4546072,[DECEL] Step:72 Hz:5163
1770051995.5634668,[DECEL] Step:172 Hz:5086
1770051995.6777782,[DECEL] Step:272 Hz:4949
1770051995.7853103,[DECEL] Step:372 Hz:4754
1770051995.8927102,[DECEL] Step:472 Hz:4506
1770051996.003446,[DECEL] Step:572 Hz:4212
1770051996.1123946,[DECEL] Step:672 Hz:3879
1770051996.2225788,[DECEL] Step:772 Hz:3514
1770051996.4315484,[DECEL] Step:872 Hz:3127
1770051996.5354068,[DECEL] Step:972 Hz:2728
1770051996.6402433,[DECEL] Step:1072 Hz:2326
1770051996.7458386,[DECEL] Step:1172 Hz:1931
1770051996.8535402,[DECEL] Step:1272 Hz:1552
1770051996.9570794,[DECEL] Step:1372 Hz:1200
1770051997.063235,[DECEL] Step:1472 Hz:883
1770051997.1675613,[DECEL] Step:1572 Hz:609
1770051997.2751422,[DECEL] Step:1672 Hz:383
1770051997.4933038,[DECEL] Step:1772 Hz:213
1770051997.598853,[DECEL] Step:1872 Hz:102
1770051997.7103004,[DECEL] Step:1972 Hz:53
1770051997.713324,[DEBUG] IDLE (Motor OFF)
