Time_ms,Message,Hz
81471,[ACCEL] Step:73 Hz:52,52
81571,[ACCEL] Step:173 Hz:64,64
81670,[ACCEL] Step:273 Hz:86,86
81770,[ACCEL] Step:373 Hz:117,117
81870,[ACCEL] Step:473 Hz:157,157
81971,[ACCEL] Step:573 Hz:203,203
82171,[ACCEL] Step:673 Hz:256,256
82271,[ACCEL] Step:773 Hz:314,314
82371,[ACCEL] Step:873 Hz:375,375
82471,[ACCEL] Step:973 Hz:439,439
82571,[ACCEL] Step:1073 Hz:503,503
82671,[ACCEL] Step:1173 Hz:565,565
82871,[ACCEL] Step:1273 Hz:625,625
82970,[ACCEL] Step:1373 Hz:681,681
83071,[ACCEL] Step:1473 Hz:731,731
83170,[ACCEL] Step:1573 Hz:774,774
83270,[ACCEL] Step:1673 Hz:810,810
83371,[ACCEL] Step:1773 Hz:837,837
83471,[ACCEL] Step:1873 Hz:854,854
83671,[ACCEL] Step:1973 Hz:862,862
83671,[DEBUG] RUN START,0
91070,[RUN] Target:5179 Current:1083,1083
91269,[RUN] Target:5179 Current:1583,1583
91369,[RUN] Target:5179 Current:2083,2083
91469,[RUN] Target:5179 Current:2583,2583
91569,[RUN] Target:5179 Current:3083,3083
91669,[RUN] Target:5179 Current:3583,3583
91769,[RUN] Target:5179 Current:4083,4083
91969,[RUN] Target:5179 Current:4583,4583
92069,[RUN] Target:5179 Current:5083,5083
100170,[DECEL] Step:89 Hz:5154,5154
100270,[DECEL] Step:189 Hz:5067,5067
100470,[DECEL] Step:289 Hz:4920,4920
100570,[DECEL] Step:389 Hz:4715,4715
100669,[DECEL] Step:489 Hz:4459,4459
100769,[DECEL] Step:589 Hz:4158,4158
100870,[DECEL] Step:689 Hz:3819,3819
100969,[DECEL] Step:789 Hz:3449,3449
101170,[DECEL] Step:889 Hz:3060,3060
101270,[DECEL] Step:989 Hz:2659,2659
101370,[DECEL] Step:1089 Hz:2258,2258
101470,[DECEL] Step:1189 Hz:1865,1865
101570,[DECEL] Step:1289 Hz:1490,1490
101670,[DECEL] Step:1389 Hz:1144,1144
101870,[DECEL] Step:1489 Hz:833,833
101969,[DECEL] Step:1589 Hz:567,567
102069,[DECEL] Step:1689 Hz:350,350
102170,[DECEL] Step:1789 Hz:190,190
102269,[DECEL] Step:1889 Hz:89,89
102370,[DECEL] Step:1989 Hz:51,51
102470,[DEBUG] IDLE (Motor OFF),0
