Time_ms,Temp_C,Setpoint_C,Heater_Duty,Speed_mm_s,Error_C
6694,80.02,255.00,100,3.00,174.98
7345,79.97,255.00,100,3.00,175.03
7995,79.96,255.00,100,3.00,175.04
8645,79.93,255.00,100,3.00,175.07
9295,79.99,255.00,100,3.00,175.01
9945,80.04,255.00,100,3.00,174.96
10595,80.01,255.00,100,3.00,174.99
11245,79.92,255.00,100,3.00,175.08
11895,79.97,255.00,100,3.00,175.03
12545,79.98,255.00,100,3.00,175.02
13195,79.98,255.00,100,3.00,175.02
13845,80.01,255.00,100,3.00,174.99
14495,80.06,255.00,100,3.00,174.94
15145,79.94,255.00,100,3.00,175.06
15795,79.86,255.00,100,3.00,175.14
16445,79.96,255.00,100,3.00,175.04
17095,79.95,255.00,100,3.00,175.05
17745,80.01,255.00,100,3.00,174.99
18395,79.97,255.00,100,3.00,175.03
19045,80.00,255.00,100,3.00,175.00
19695,80.03,255.00,100,3.00,174.97
20345,79.91,255.00,100,3.00,175.09
20995,79.98,255.00,100,3.00,175.02
21645,80.01,255.00,100,3.00,174.99
22295,80.01,255.00,100,3.00,174.99
22945,80.01,255.00,100,3.00,174.99
23595,79.88,255.00,100,3.00,175.12
24245,79.88,255.00,100,3.00,175.12
24895,79.86,255.00,100,3.00,175.14
25545,79.94,255.00,100,3.00,175.06
26195,79.84,255.00,100,3.00,175.16
26845,79.92,255.00,100,3.00,175.08
27495,79.92,255.00,100,3.00,175.08
28145,79.98,255.00,100,3.00,175.02
28795,79.92,255.00,100,3.00,175.08
29445,79.87,255.00,100,3.00,175.13
30095,79.79,255.00,100,3.00,175.21
30745,79.79,255.00,100,3.00,175.21
31395,79.81,255.00,100,3.00,175.19
32045,79.76,255.00,100,3.00,175.24
32695,79.68,255.00,100,3.00,175.32
33345,79.61,255.00,100,3.00,175.39
33995,79.60,255.00,100,3.00,175.40
34645,79.66,255.00,100,3.00,175.34
35295,79.68,255.00,100,3.00,175.32
35945,79.73,255.00,100,3.00,175.27
36595,79.83,255.00,100,3.00,175.17
37245,79.94,255.00,100,3.00,175.06
37895,79.84,255.00,100,3.00,175.16
38545,79.78,255.00,100,3.00,175.22
39195,79.85,255.00,100,3.00,175.15
39845,79.91,255.00,100,3.00,175.09
40495,79.93,255.00,100,3.00,175.07
41145,80.02,255.00,100,3.00,174.98
41795,80.09,255.00,100,3.00,174.91
42445,79.96,255.00,100,3.00,175.04
43095,79.85,255.00,100,3.00,175.15
43745,79.96,255.00,100,3.00,175.04
44395,79.97,255.00,100,3.00,175.03
45045,79.93,255.00,100,3.00,175.07
45695,79.95,255.00,100,3.00,175.05
46345,79.99,255.00,100,3.00,175.01
