Time_ms,Temp_C,Setpoint_C,Heater_Duty,Motor_Hz,Error_C
199848.0,48.88,245.0,100,400,196.12
200290.0,48.96,245.0,100,400,196.04
200732.0,48.81,245.0,100,400,196.19
201174.0,48.7,245.0,100,400,196.3
201616.0,48.66,245.0,100,400,196.34
202058.0,48.67,245.0,100,400,196.33
202500.0,48.53,245.0,100,400,196.47
202942.0,48.87,245.0,100,400,196.13
203384.0,49.05,245.0,100,400,195.95
203826.0,49.09,245.0,100,400,195.91
204268.0,49.02,245.0,100,400,195.98
204710.0,49.17,245.0,100,400,195.83
205152.0,49.08,245.0,100,400,195.92
205594.0,48.7,245.0,100,400,196.3
206036.0,48.81,245.0,100,400,196.19
206478.0,48.95,245.0,100,400,196.05
206920.0,48.81,245.0,100,400,196.19
207362.0,48.79,245.0,100,400,196.21
207804.0,48.78,245.0,100,400,196.22
208246.0,48.98,245.0,100,400,196.02
208688.0,48.62,245.0,100,400,196.38
209130.0,48.74,245.0,100,400,196.26
209572.0,48.9,245.0,100,400,196.1
210014.0,48.81,245.0,100,400,196.19
210456.0,49.0,245.0,100,400,196.0
210898.0,49.1,245.0,100,400,195.9
211340.0,49.03,245.0,100,400,195.97
211782.0,48.87,245.0,100,400,196.13
212224.0,49.05,245.0,100,400,195.95
212666.0,49.09,245.0,100,400,195.91
213108.0,49.02,245.0,100,400,195.98
213550.0,48.65,245.0,100,400,196.35
213992.0,48.52,245.0,100,400,196.48
214434.0,48.41,245.0,100,400,196.59
214876.0,48.48,245.0,100,400,196.52
215318.0,48.43,245.0,100,400,196.57
215760.0,48.69,245.0,100,400,196.31
216202.0,48.7,245.0,100,400,196.3
216644.0,48.86,245.0,100,400,196.14
217086.0,48.94,245.0,100,400,196.06
217528.0,48.95,245.0,100,400,196.05
217970.0,49.01,245.0,100,400,195.99
218412.0,49.01,245.0,100,400,195.99
218854.0,49.01,245.0,100,400,195.99
219296.0,48.9,245.0,100,400,196.1
219738.0,48.92,245.0,100,400,196.08
220180.0,48.94,245.0,100,400,196.06
220622.0,48.9,245.0,100,400,196.1
221064.0,48.82,245.0,100,400,196.18
221506.0,48.75,245.0,100,400,196.25
221948.0,48.95,245.0,100,400,196.05
222390.0,49.01,245.0,100,400,195.99
222832.0,48.54,245.0,100,400,196.46
223274.0,48.68,245.0,100,400,196.32
223716.0,48.69,245.0,100,400,196.31
224158.0,48.75,245.0,100,400,196.25
224600.0,48.85,245.0,100,400,196.15
225042.0,48.52,245.0,100,400,196.48
225484.0,48.62,245.0,100,400,196.38
225926.0,48.64,245.0,100,400,196.36
226368.0,48.56,245.0,100,400,196.44
226810.0,49.04,245.0,100,400,195.96
227252.0,49.08,245.0,100,400,195.92
227694.0,48.81,245.0,100,400,196.19
228136.0,49.09,245.0,100,400,195.91
228578.0,48.87,245.0,100,400,196.13
229020.0,48.69,245.0,100,400,196.31
229462.0,48.65,245.0,100,400,196.35
229904.0,48.57,245.0,100,400,196.43
230346.0,48.7,245.0,100,400,196.3
230788.0,48.86,245.0,100,400,196.14
231230.0,48.89,245.0,100,400,196.11
231672.0,48.6,245.0,100,400,196.4
232114.0,48.78,245.0,100,400,196.22
232556.0,48.97,245.0,100,400,196.03
232998.0,48.98,245.0,100,400,196.02
233440.0,49.03,245.0,100,400,195.97
233882.0,48.93,245.0,100,400,196.07
234324.0,48.94,245.0,100,400,196.06
234766.0,48.64,245.0,100,400,196.36
235208.0,48.86,245.0,100,400,196.14
235650.0,49.09,245.0,100,400,195.91
236092.0,49.12,245.0,100,400,195.88
236534.0,49.05,245.0,100,400,195.95
236976.0,49.09,245.0,100,400,195.91
237418.0,48.86,245.0,100,400,196.14
237860.0,49.28,245.0,100,400,195.72
238302.0,48.97,245.0,100,400,196.03
238744.0,48.92,245.0,100,400,196.08
239186.0,48.84,245.0,100,400,196.16
239628.0,48.87,245.0,100,400,196.13
240070.0,48.9,245.0,100,400,196.1
240512.0,48.81,245.0,100,400,196.19
240954.0,48.85,245.0,100,400,196.15
241396.0,48.78,245.0,100,400,196.22
241838.0,48.92,245.0,100,400,196.08
