Time_ms,Temp_C,Setpoint_C,Heater_Duty,Speed_mm_s,Error_C
11800,202.96,250.00,100,0.00,47.04
12533,202.65,250.00,100,0.00,47.35
13266,202.34,250.00,100,0.00,47.66
2171,199.87,250.00,100,0.00,50.13
2270,199.83,250.00,100,0.00,50.17
2370,199.80,250.00,100,0.00,50.20
2470,199.78,250.00,100,0.00,50.22
2570,199.76,250.00,100,0.00,50.24
2670,199.75,250.00,100,0.00,50.25
2770,199.76,250.00,100,0.00,50.24
2870,199.76,250.00,100,0.00,50.24
2970,199.77,250.00,100,0.00,50.23
3070,199.77,250.00,100,0.00,50.23
3170,199.77,250.00,100,0.00,50.23
3270,199.78,250.00,100,0.00,50.22
3370,199.79,250.00,100,0.00,50.21
3470,199.80,250.00,100,0.00,50.20
3570,199.81,250.00,100,0.00,50.19
3670,199.83,250.00,100,0.00,50.17
3770,199.85,250.00,100,0.00,50.15
3870,199.87,250.00,100,0.00,50.13
3970,199.90,250.00,100,0.00,50.10
4070,199.92,250.00,100,0.00,50.08
4170,199.95,250.00,100,0.00,50.05
4270,199.99,250.00,100,0.00,50.01
4370,200.00,250.00,100,0.00,50.00
4470,200.03,250.00,100,0.00,49.97
4570,200.05,250.00,100,0.00,49.95
4670,200.09,250.00,100,0.00,49.91
4770,200.12,250.00,100,0.00,49.88
4870,200.16,250.00,100,0.00,49.84
4970,200.21,250.00,100,0.00,49.79
5070,200.24,250.00,100,0.00,49.76
5170,200.28,250.00,100,0.00,49.72
5270,200.33,250.00,100,0.00,49.67
5370,200.36,250.00,100,0.00,49.64
5470,200.40,250.00,100,0.00,49.60
5570,200.44,250.00,100,0.00,49.56
5670,200.49,250.00,100,0.00,49.51
5770,200.53,250.00,100,0.00,49.47
5870,200.57,250.00,100,0.00,49.43
5970,200.62,250.00,100,0.00,49.38
6070,200.67,250.00,100,0.00,49.33
6170,200.71,250.00,100,0.00,49.29
6270,200.76,250.00,100,0.00,49.24
6370,200.81,250.00,100,0.00,49.19
6470,200.84,250.00,100,0.00,49.16
6570,200.88,250.00,100,0.00,49.12
6670,200.93,250.00,100,0.00,49.07
6770,200.97,250.00,100,0.00,49.03
6870,201.03,250.00,100,0.00,48.97
6970,201.10,250.00,100,0.00,48.90
7070,201.16,250.00,100,0.00,48.84
7170,201.22,250.00,100,0.00,48.78
7270,201.27,250.00,100,0.00,48.73
7370,201.33,250.00,100,0.00,48.67
7470,201.38,250.00,100,0.00,48.62
7570,201.44,250.00,100,0.00,48.56
7670,201.49,250.00,100,0.00,48.51
7770,201.55,250.00,100,0.00,48.45
7870,201.60,250.00,100,0.00,48.40
7970,201.66,250.00,100,0.00,48.34
8070,201.72,250.00,100,0.00,48.28
8170,201.77,250.00,100,0.00,48.23
8270,201.82,250.00,100,0.00,48.18
8370,201.88,250.00,100,0.00,48.12
8470,201.94,250.00,100,0.00,48.06
8570,201.98,250.00,100,0.00,48.02
8670,202.04,250.00,100,0.00,47.96
8770,202.09,250.00,100,0.00,47.91
8870,202.13,250.00,100,0.00,47.87
8970,202.19,250.00,100,0.00,47.81
9070,202.25,250.00,100,0.00,47.75
9170,202.31,250.00,100,0.00,47.69
9270,202.38,250.00,100,0.00,47.62
9370,202.44,250.00,100,0.00,47.56
9470,202.51,250.00,100,0.00,47.49
9570,202.58,250.00,100,0.00,47.42
9670,202.64,250.00,100,0.00,47.36
9770,202.72,250.00,100,0.00,47.28
9870,202.79,250.00,100,0.00,47.21
9970,202.86,250.00,100,0.00,47.14
10070,202.93,250.00,100,0.00,47.07
10170,203.00,250.00,100,0.00,47.00
10270,203.07,250.00,100,0.00,46.93
10370,203.14,250.00,100,0.00,46.86
10470,203.23,250.00,100,0.00,46.77
10570,203.31,250.00,100,0.00,46.69
10670,203.38,250.00,100,0.00,46.62
10770,203.45,250.00,100,0.00,46.55
10870,203.52,250.00,100,0.00,46.48
10970,203.60,250.00,100,0.00,46.40
11070,203.68,250.00,100,0.00,46.32
11170,203.77,250.00,100,0.00,46.23
11270,203.86,250.00,100,0.00,46.14
11370,203.95,250.00,100,0.00,46.05
11470,204.03,250.00,100,0.00,45.97
11570,204.12,250.00,100,0.00,45.88
11670,204.22,250.00,100,0.00,45.78
11770,204.31,250.00,100,0.00,45.69
11870,204.40,250.00,100,0.00,45.60
11970,204.49,250.00,100,0.00,45.51
12070,204.59,250.00,100,0.00,45.41
12170,204.66,250.00,100,0.00,45.34
12270,204.77,250.00,100,0.00,45.23
12370,204.86,250.00,100,0.00,45.14
12470,204.95,250.00,100,0.00,45.05
12570,205.05,250.00,100,0.00,44.95
12670,205.13,250.00,100,0.00,44.87
12770,205.21,250.00,100,0.00,44.79
12870,205.29,250.00,100,0.00,44.71
12970,205.38,250.00,100,0.00,44.62
13072,205.49,250.00,100,0.03,44.51
13171,205.60,250.00,100,0.06,44.40
13272,205.70,250.00,100,0.11,44.30
13372,205.82,250.00,100,0.19,44.18
13471,205.92,250.00,100,0.29,44.08
13571,206.03,250.00,100,0.40,43.97
13671,206.11,250.00,100,0.54,43.89
13772,206.23,250.00,100,0.70,43.77
13872,206.35,250.00,100,0.86,43.65
13971,206.46,250.00,100,1.04,43.54
14071,206.56,250.00,100,1.23,43.44
14172,206.65,250.00,100,1.42,43.35
14272,206.76,250.00,100,1.61,43.24
14372,206.87,250.00,100,1.80,43.13
14472,206.98,250.00,100,1.98,43.02
14572,207.09,250.00,100,2.16,42.91
14672,207.19,250.00,100,2.33,42.81
14772,207.32,250.00,100,2.48,42.68
14872,207.42,250.00,100,2.62,42.58
14972,207.52,250.00,100,2.74,42.48
15072,207.65,250.00,100,2.83,42.35
15172,207.77,250.00,100,2.91,42.23
15272,207.88,250.00,100,2.96,42.12
15372,208.00,250.00,100,2.99,42.00
15471,208.12,250.00,100,3.00,41.88
15571,208.24,250.00,100,3.00,41.76
15671,208.37,250.00,100,3.00,41.63
15771,208.48,250.00,100,3.00,41.52
15871,208.61,250.00,100,3.00,41.39
15971,208.73,250.00,100,3.00,41.27
16071,208.85,250.00,100,3.00,41.15
16171,208.95,250.00,100,3.00,41.05
16271,209.07,250.00,100,3.00,40.93
16371,209.20,250.00,100,3.00,40.80
16471,209.34,250.00,100,3.00,40.66
16571,209.46,250.00,100,3.00,40.54
16671,209.58,250.00,100,3.00,40.42
16771,209.70,250.00,100,3.00,40.30
16871,209.83,250.00,100,3.00,40.17
16971,209.97,250.00,100,3.00,40.03
17071,210.07,250.00,100,3.00,39.93
17171,210.21,250.00,100,3.00,39.79
17271,210.34,250.00,100,3.00,39.66
17371,210.46,250.00,100,3.00,39.54
17471,210.59,250.00,100,3.00,39.41
17571,210.71,250.00,100,3.00,39.29
17671,210.84,250.00,100,3.00,39.16
17771,210.95,250.00,100,3.00,39.05
17871,211.08,250.00,100,3.00,38.92
17971,211.20,250.00,100,3.00,38.80
18071,211.33,250.00,100,3.00,38.67
18171,211.45,250.00,100,3.00,38.55
18271,211.57,250.00,100,3.00,38.43
18371,211.69,250.00,100,3.00,38.31
18471,211.82,250.00,100,3.00,38.18
18571,211.95,250.00,100,3.00,38.05
18671,212.07,250.00,100,3.00,37.93
18771,212.19,250.00,100,3.00,37.81
18871,212.32,250.00,100,3.00,37.68
18971,212.45,250.00,100,3.00,37.55
19071,212.61,250.00,100,3.00,37.39
19171,212.75,250.00,100,3.00,37.25
19271,212.89,250.00,100,3.00,37.11
19371,213.03,250.00,100,3.00,36.97
19471,213.17,250.00,100,3.00,36.83
19571,213.31,250.00,100,3.00,36.69
19671,213.44,250.00,100,3.00,36.56
19771,213.57,250.00,100,3.00,36.43
19871,213.71,250.00,100,3.00,36.29
19971,213.84,250.00,100,3.00,36.16
20071,213.97,250.00,100,3.00,36.03
20171,214.09,250.00,100,3.00,35.91
20271,214.22,250.00,100,3.00,35.78
20371,214.34,250.00,100,3.00,35.66
20471,214.48,250.00,100,3.00,35.52
20571,214.62,250.00,100,3.00,35.38
20671,214.75,250.00,100,3.00,35.25
20771,214.90,250.00,100,3.00,35.10
20871,215.03,250.00,100,3.00,34.97
20971,215.17,250.00,100,3.00,34.83
21071,215.29,250.00,100,3.00,34.71
21171,215.41,250.00,100,3.00,34.59
21271,215.56,250.00,100,3.00,34.44
21371,215.72,250.00,100,3.00,34.28
21471,215.85,250.00,100,3.00,34.15
21571,215.99,250.00,100,3.00,34.01
21671,216.13,250.00,100,3.00,33.87
21771,216.26,250.00,100,3.00,33.74
21871,216.39,250.00,100,3.00,33.61
21971,216.51,250.00,100,3.00,33.49
22071,216.63,250.00,100,3.00,33.37
22171,216.77,250.00,100,3.00,33.23
22271,216.90,250.00,100,3.00,33.10
22371,217.02,250.00,100,3.00,32.98
22471,217.16,250.00,100,3.00,32.84
22571,217.29,250.00,100,3.00,32.71
22671,217.43,250.00,100,3.00,32.57
22771,217.54,250.00,100,3.00,32.46
22871,217.68,250.00,100,3.00,32.32
22971,217.80,250.00,100,3.00,32.20
23071,217.92,250.00,100,3.00,32.08
23171,218.05,250.00,100,3.00,31.95
23271,218.14,250.00,100,3.00,31.86
23371,218.27,250.00,100,3.00,31.73
23471,218.41,250.00,100,3.00,31.59
23571,218.55,250.00,100,3.00,31.45
23671,218.67,250.00,100,3.00,31.33
23771,218.80,250.00,100,3.00,31.20
23871,218.94,250.00,100,3.00,31.06
23971,219.05,250.00,100,3.00,30.95
24071,219.16,250.00,100,3.00,30.84
24171,219.28,250.00,100,3.00,30.72
24271,219.40,250.00,100,3.00,30.60
24371,219.54,250.00,100,3.00,30.46
24472,219.64,250.00,100,2.98,30.36
24572,219.75,250.00,100,2.93,30.25
24672,219.87,250.00,100,2.87,30.13
24772,219.99,250.00,100,2.78,30.01
24871,220.12,250.00,100,2.67,29.88
24972,220.23,250.00,100,2.53,29.77
25071,220.36,250.00,100,2.39,29.64
25171,220.48,250.00,100,2.22,29.52
25272,220.61,250.00,100,2.05,29.39
25372,220.73,250.00,100,1.87,29.27
25471,220.86,250.00,100,1.68,29.14
25571,220.99,250.00,100,1.49,29.01
25671,221.13,250.00,100,1.30,28.87
25771,221.28,250.00,99,1.11,28.72
