Time_ms,Temp_C,Setpoint_C,Heater_Duty,Speed_mm_s,Error_C
315770,249.69,250.00,60,2.00,0.31
315870,249.74,250.00,53,2.00,0.26
315970,249.74,250.00,60,2.00,0.26
316070,249.71,250.00,61,2.00,0.29
316170,249.74,250.00,56,2.00,0.26
316270,249.73,250.00,60,2.00,0.27
316370,249.74,250.00,59,2.00,0.26
316470,249.75,250.00,57,2.00,0.25
316570,249.74,250.00,60,2.00,0.26
316670,249.76,250.00,57,2.00,0.24
316770,249.74,250.00,60,2.00,0.26
316870,249.74,250.00,60,2.00,0.26
316970,249.71,250.00,61,2.00,0.29
317070,249.68,250.00,62,2.00,0.32
317170,249.69,250.00,58,2.00,0.31
317270,249.69,250.00,60,2.00,0.31
317370,249.66,250.00,62,2.00,0.34
317470,249.66,250.00,59,2.00,0.34
317570,249.72,250.00,53,2.00,0.28
317670,249.73,250.00,57,2.00,0.27
2171,250.00,250.00,0,3.00,-0.00
2270,250.02,250.00,0,3.00,-0.02
2370,250.03,250.00,0,3.00,-0.03
2470,250.06,250.00,0,3.00,-0.06
2570,250.09,250.00,0,3.00,-0.09
2670,250.15,250.00,0,3.00,-0.15
2770,250.21,250.00,0,3.00,-0.21
2870,250.17,250.00,3,3.00,-0.17
2970,250.22,250.00,0,3.00,-0.22
3070,250.24,250.00,0,3.00,-0.24
3170,250.26,250.00,0,3.00,-0.26
3270,250.25,250.00,0,3.00,-0.25
3370,250.26,250.00,0,3.00,-0.26
3470,250.27,250.00,0,3.00,-0.27
3570,250.28,250.00,0,3.00,-0.28
3670,250.28,250.00,0,3.00,-0.28
3770,250.27,250.00,0,3.00,-0.27
3870,250.23,250.00,2,3.00,-0.23
3970,250.22,250.00,0,3.00,-0.22
4070,250.22,250.00,0,3.00,-0.22
4170,250.20,250.00,1,3.00,-0.20
4270,250.22,250.00,0,3.00,-0.22
4370,250.23,250.00,0,3.00,-0.23
4470,250.26,250.00,0,3.00,-0.26
4570,250.24,250.00,0,3.00,-0.24
4670,250.26,250.00,0,3.00,-0.26
4770,250.26,250.00,0,3.00,-0.26
4870,250.18,250.00,6,3.00,-0.18
4970,250.18,250.00,0,3.00,-0.18
5070,250.15,250.00,2,3.00,-0.15
5170,250.16,250.00,0,3.00,-0.16
5270,250.12,250.00,3,3.00,-0.12
5370,250.11,250.00,0,3.00,-0.11
5470,250.11,250.00,0,3.00,-0.11
5570,250.09,250.00,1,3.00,-0.09
5670,250.09,250.00,0,3.00,-0.09
5770,250.11,250.00,0,3.00,-0.11
5870,250.07,250.00,3,3.00,-0.07
5970,250.02,250.00,5,3.00,-0.02
6070,250.02,250.00,0,3.00,-0.02
6170,249.96,250.00,6,3.00,0.04
6270,249.88,250.00,8,3.00,0.12
6370,249.81,250.00,7,3.00,0.19
6470,249.74,250.00,7,3.00,0.26
6570,249.69,250.00,6,3.00,0.31
6670,249.65,250.00,5,3.00,0.35
6770,249.61,250.00,5,3.00,0.39
6870,249.57,250.00,6,3.00,0.43
6970,249.52,250.00,6,3.00,0.48
7070,249.46,250.00,7,3.00,0.54
7170,249.40,250.00,8,3.00,0.60
7270,249.33,250.00,9,3.00,0.67
7370,249.31,250.00,4,3.00,0.69
7470,249.27,250.00,6,3.00,0.73
7570,249.24,250.00,6,3.00,0.76
7670,249.20,250.00,7,3.00,0.80
7770,249.14,250.00,9,3.00,0.86
7870,249.08,250.00,9,3.00,0.92
7970,249.07,250.00,5,3.00,0.93
8070,249.01,250.00,10,3.00,0.99
8170,248.92,250.00,13,3.00,1.08
8270,248.87,250.00,9,3.00,1.13
8370,248.85,250.00,7,3.00,1.15
8470,248.77,250.00,12,3.00,1.23
8570,248.74,250.00,8,3.00,1.26
8670,248.67,250.00,12,3.00,1.33
8770,248.63,250.00,10,3.00,1.37
8870,248.59,250.00,9,3.00,1.41
8970,248.54,250.00,10,3.00,1.46
9070,248.50,250.00,10,3.00,1.50
9170,248.46,250.00,10,3.00,1.54
9270,248.39,250.00,13,3.00,1.61
9370,248.33,250.00,13,3.00,1.67
9470,248.22,250.00,18,3.00,1.78
9570,248.14,250.00,15,3.00,1.86
9670,248.10,250.00,11,3.00,1.90
9770,248.02,250.00,16,3.00,1.98
9870,247.93,250.00,18,3.00,2.07
9970,247.82,250.00,19,3.00,2.18
10070,247.77,250.00,14,3.00,2.23
10170,247.69,250.00,17,3.00,2.31
10270,247.60,250.00,19,3.00,2.40
10370,247.53,250.00,16,3.00,2.47
10470,247.46,250.00,18,3.00,2.54
10570,247.41,250.00,15,3.00,2.59
10670,247.34,250.00,18,3.00,2.66
10770,247.25,250.00,21,3.00,2.75
10870,247.19,250.00,18,3.00,2.81
10970,247.16,250.00,14,3.00,2.84
11070,247.08,250.00,21,3.00,2.92
11170,246.99,250.00,22,3.00,3.01
11270,246.94,250.00,17,3.00,3.06
11370,246.86,250.00,21,3.00,3.14
11470,246.80,250.00,20,3.00,3.20
11570,246.69,250.00,25,3.00,3.31
11670,246.60,250.00,23,3.00,3.40
11770,246.56,250.00,19,3.00,3.44
11870,246.47,250.00,24,3.00,3.53
11970,246.39,250.00,23,3.00,3.61
12070,246.30,250.00,25,3.00,3.70
12170,246.24,250.00,23,3.00,3.76
12270,246.15,250.00,25,3.00,3.85
12370,246.05,250.00,27,3.00,3.95
12470,246.00,250.00,23,3.00,4.00
12570,245.91,250.00,27,3.00,4.09
12670,245.82,250.00,26,3.00,4.18
12770,245.75,250.00,26,3.00,4.25
12870,245.67,250.00,27,3.00,4.33
12970,245.59,250.00,26,3.00,4.41
13070,245.54,250.00,25,3.00,4.46
13170,245.44,250.00,30,3.00,4.56
13270,245.33,250.00,31,3.00,4.67
13370,245.25,250.00,29,3.00,4.75
13470,245.14,250.00,32,3.00,4.86
13570,245.06,250.00,30,3.00,4.94
13670,244.94,250.00,34,3.00,5.06
13770,244.88,250.00,28,3.00,5.12
13870,244.81,250.00,30,3.00,5.19
13970,244.76,250.00,28,3.00,5.24
14070,244.66,250.00,34,3.00,5.34
14170,244.55,250.00,36,3.00,5.45
14270,244.48,250.00,31,3.00,5.52
14370,244.42,250.00,31,3.00,5.58
14470,244.31,250.00,36,3.00,5.69
14570,244.21,250.00,36,3.00,5.79
14670,244.09,250.00,38,3.00,5.91
14770,244.01,250.00,36,3.00,5.99
14870,243.91,250.00,36,3.00,6.09
14970,243.80,250.00,39,3.00,6.20
15070,243.73,250.00,35,3.00,6.27
15170,243.66,250.00,36,3.00,6.34
15270,243.58,250.00,37,3.00,6.42
15370,243.48,250.00,40,3.00,6.52
15470,243.44,250.00,34,3.00,6.56
15570,243.34,250.00,40,3.00,6.66
15670,243.26,250.00,39,3.00,6.74
15770,243.15,250.00,43,3.00,6.85
15870,243.07,250.00,40,3.00,6.93
15970,243.02,250.00,37,3.00,6.98
16070,242.93,250.00,41,3.00,7.07
16170,242.85,250.00,41,3.00,7.15
16270,242.78,250.00,40,3.00,7.22
16370,242.74,250.00,38,3.00,7.26
16470,242.63,250.00,44,3.00,7.37
16570,242.53,250.00,45,3.00,7.47
16670,242.45,250.00,43,3.00,7.55
16770,242.35,250.00,45,3.00,7.65
16870,242.26,250.00,46,3.00,7.74
16970,242.18,250.00,44,3.00,7.82
17070,242.09,250.00,46,3.00,7.91
17170,242.02,250.00,44,3.00,7.98
17270,241.92,250.00,48,3.00,8.08
17370,241.83,250.00,48,3.00,8.17
17470,241.73,250.00,48,3.00,8.27
17570,241.66,250.00,47,3.00,8.34
17670,241.55,250.00,51,3.00,8.45
17770,241.48,250.00,47,3.00,8.52
17870,241.36,250.00,53,3.00,8.64
17970,241.27,250.00,50,3.00,8.73
18070,241.22,250.00,47,3.00,8.78
18170,241.16,250.00,48,3.00,8.84
18270,241.08,250.00,51,3.00,8.92
18370,240.98,250.00,53,3.00,9.02
18470,240.93,250.00,49,3.00,9.07
18570,240.83,250.00,54,3.00,9.17
18670,240.72,250.00,55,3.00,9.28
18770,240.64,250.00,53,3.00,9.36
18870,240.54,250.00,56,3.00,9.46
18970,240.47,250.00,53,3.00,9.53
19070,240.42,250.00,52,3.00,9.58
19170,240.31,250.00,58,3.00,9.69
19270,240.24,250.00,54,3.00,9.76
19370,240.18,250.00,54,3.00,9.82
19470,240.13,250.00,53,3.00,9.87
