Time_ms,Message,Hz
13072,[ACCEL] Step:90 Hz:75,75
13171,[ACCEL] Step:190 Hz:163,163
13272,[ACCEL] Step:290 Hz:311,311
13471,[ACCEL] Step:390 Hz:516,516
13571,[ACCEL] Step:490 Hz:772,772
13671,[ACCEL] Step:590 Hz:1074,1074
13772,[ACCEL] Step:690 Hz:1414,1414
13872,[ACCEL] Step:790 Hz:1783,1783
14071,[ACCEL] Step:890 Hz:2173,2173
14172,[ACCEL] Step:990 Hz:2574,2574
14272,[ACCEL] Step:1090 Hz:2975,2975
14372,[ACCEL] Step:1190 Hz:3368,3368
14572,[ACCEL] Step:1290 Hz:3742,3742
14672,[ACCEL] Step:1390 Hz:4089,4089
14772,[ACCEL] Step:1490 Hz:4399,4399
14872,[ACCEL] Step:1590 Hz:4665,4665
14972,[ACCEL] Step:1690 Hz:4880,4880
15172,[ACCEL] Step:1790 Hz:5040,5040
15272,[ACCEL] Step:1890 Hz:5140,5140
15372,[ACCEL] Step:1990 Hz:5178,5178
15372,[DEBUG] RUN START,0
24271,[DECEL] Step:3 Hz:5179,5179
24371,[DECEL] Step:103 Hz:5146,5146
24572,[DECEL] Step:203 Hz:5050,5050
24672,[DECEL] Step:303 Hz:4894,4894
24772,[DECEL] Step:403 Hz:4683,4683
24871,[DECEL] Step:503 Hz:4420,4420
25071,[DECEL] Step:603 Hz:4113,4113
25171,[DECEL] Step:703 Hz:3768,3768
25272,[DECEL] Step:803 Hz:3396,3396
25372,[DECEL] Step:903 Hz:3004,3004
25471,[DECEL] Step:1003 Hz:2603,2603
25671,[DECEL] Step:1103 Hz:2202,2202
25771,[DECEL] Step:1203 Hz:1811,1811
25872,[DECEL] Step:1303 Hz:1440,1440
25972,[DECEL] Step:1403 Hz:1098,1098
26072,[DECEL] Step:1503 Hz:793,793
26271,[DECEL] Step:1603 Hz:533,533
26371,[DECEL] Step:1703 Hz:325,325
26471,[DECEL] Step:1803 Hz:172,172
26572,[DECEL] Step:1903 Hz:80,80
26671,[DEBUG] IDLE (Motor OFF),0
38671,[ACCEL] Step:6 Hz:50,50
38772,[ACCEL] Step:106 Hz:97,97
38873,[ACCEL] Step:206 Hz:227,227
38972,[ACCEL] Step:306 Hz:438,438
39073,[ACCEL] Step:406 Hz:723,723
39273,[ACCEL] Step:506 Hz:1076,1076
39373,[ACCEL] Step:606 Hz:1489,1489
39472,[ACCEL] Step:706 Hz:1950,1950
39572,[ACCEL] Step:806 Hz:2449,2449
39673,[ACCEL] Step:906 Hz:2973,2973
39873,[ACCEL] Step:1006 Hz:3509,3509
39973,[ACCEL] Step:1106 Hz:4045,4045
40073,[ACCEL] Step:1206 Hz:4567,4567
40173,[ACCEL] Step:1306 Hz:5062,5062
40373,[ACCEL] Step:1406 Hz:5518,5518
40473,[ACCEL] Step:1506 Hz:5923,5923
40572,[ACCEL] Step:1606 Hz:6269,6269
40673,[ACCEL] Step:1706 Hz:6545,6545
40773,[ACCEL] Step:1806 Hz:6747,6747
40972,[ACCEL] Step:1906 Hz:6867,6867
41073,[DEBUG] RUN START,0
51972,[DECEL] Step:21 Hz:6904,6904
52173,[DECEL] Step:121 Hz:6844,6844
52274,[DECEL] Step:221 Hz:6701,6701
52374,[DECEL] Step:321 Hz:6479,6479
52473,[DECEL] Step:421 Hz:6183,6183
52674,[DECEL] Step:521 Hz:5820,5820
52774,[DECEL] Step:621 Hz:5400,5400
52874,[DECEL] Step:721 Hz:4932,4932
52973,[DECEL] Step:821 Hz:4429,4429
53073,[DECEL] Step:921 Hz:3902,3902
53273,[DECEL] Step:1021 Hz:3365,3365
53374,[DECEL] Step:1121 Hz:2830,2830
53474,[DECEL] Step:1221 Hz:2312,2312
53574,[DECEL] Step:1321 Hz:1822,1822
53774,[DECEL] Step:1421 Hz:1373,1373
53874,[DECEL] Step:1521 Hz:976,976
53974,[DECEL] Step:1621 Hz:640,640
54073,[DECEL] Step:1721 Hz:374,374
54174,[DECEL] Step:1821 Hz:185,185
54374,[DECEL] Step:1921 Hz:77,77
54374,[DEBUG] IDLE (Motor OFF),0
55772,[ACCEL] Step:88 Hz:82,82
55873,[ACCEL] Step:188 Hz:198,198
55973,[ACCEL] Step:288 Hz:394,394
56072,[ACCEL] Step:388 Hz:667,667
56272,[ACCEL] Step:488 Hz:1008,1008
56372,[ACCEL] Step:588 Hz:1410,1410
56473,[ACCEL] Step:688 Hz:1864,1864
56573,[ACCEL] Step:788 Hz:2357,2357
56773,[ACCEL] Step:888 Hz:2877,2877
56872,[ACCEL] Step:988 Hz:3412,3412
56973,[ACCEL] Step:1088 Hz:3949,3949
57072,[ACCEL] Step:1188 Hz:4475,4475
57173,[ACCEL] Step:1288 Hz:4975,4975
57373,[ACCEL] Step:1388 Hz:5439,5439
57473,[ACCEL] Step:1488 Hz:5854,5854
57572,[ACCEL] Step:1588 Hz:6211,6211
57673,[ACCEL] Step:1688 Hz:6501,6501
57773,[ACCEL] Step:1788 Hz:6716,6716
57972,[ACCEL] Step:1888 Hz:6852,6852
58072,[ACCEL] Step:1988 Hz:6904,6904
58072,[DEBUG] RUN START,0
64774,[DECEL] Step:93 Hz:6869,6869
64974,[DECEL] Step:193 Hz:6749,6749
65074,[DECEL] Step:293 Hz:6549,6549
65174,[DECEL] Step:393 Hz:6273,6273
65274,[DECEL] Step:493 Hz:5928,5928
65474,[DECEL] Step:593 Hz:5523,5523
65574,[DECEL] Step:693 Hz:5068,5068
65673,[DECEL] Step:793 Hz:4573,4573
65774,[DECEL] Step:893 Hz:4051,4051
65874,[DECEL] Step:993 Hz:3516,3516
66073,[DECEL] Step:1093 Hz:2979,2979
66174,[DECEL] Step:1193 Hz:2455,2455
66273,[DECEL] Step:1293 Hz:1956,1956
66373,[DECEL] Step:1393 Hz:1494,1494
66474,[DECEL] Step:1493 Hz:1081,1081
66674,[DECEL] Step:1593 Hz:727,727
66774,[DECEL] Step:1693 Hz:441,441
66873,[DECEL] Step:1793 Hz:230,230
66974,[DECEL] Step:1893 Hz:99,99
67074,[DECEL] Step:1993 Hz:51,51
67176,[DEBUG] IDLE (Motor OFF),0
103575,[ACCEL] Step:51 Hz:60,60
103675,[ACCEL] Step:151 Hz:145,145
103775,[ACCEL] Step:251 Hz:312,312
103874,[ACCEL] Step:351 Hz:557,557
104075,[ACCEL] Step:451 Hz:874,874
104175,[ACCEL] Step:551 Hz:1255,1255
104275,[ACCEL] Step:651 Hz:1691,1691
104375,[ACCEL] Step:751 Hz:2170,2170
104475,[ACCEL] Step:851 Hz:2682,2682
104675,[ACCEL] Step:951 Hz:3213,3213
104774,[ACCEL] Step:1051 Hz:3751,3751
104875,[ACCEL] Step:1151 Hz:4282,4282
104975,[ACCEL] Step:1251 Hz:4794,4794
105175,[ACCEL] Step:1351 Hz:5272,5272
105275,[ACCEL] Step:1451 Hz:5707,5707
105374,[ACCEL] Step:1551 Hz:6087,6087
105474,[ACCEL] Step:1651 Hz:6402,6402
105574,[ACCEL] Step:1751 Hz:6646,6646
105774,[ACCEL] Step:1851 Hz:6811,6811
105875,[ACCEL] Step:1951 Hz:6894,6894
105875,[DEBUG] RUN START,0
108374,[DECEL] Step:55 Hz:6893,6893
108475,[DECEL] Step:155 Hz:6804,6804
108674,[DECEL] Step:255 Hz:6634,6634
108774,[DECEL] Step:355 Hz:6386,6386
108875,[DECEL] Step:455 Hz:6067,6067
108974,[DECEL] Step:555 Hz:5683,5683
109074,[DECEL] Step:655 Hz:5246,5246
109274,[DECEL] Step:755 Hz:4765,4765
109374,[DECEL] Step:855 Hz:4252,4252
109475,[DECEL] Step:955 Hz:3720,3720
109575,[DECEL] Step:1055 Hz:3182,3182
109775,[DECEL] Step:1155 Hz:2652,2652
109875,[DECEL] Step:1255 Hz:2142,2142
109975,[DECEL] Step:1355 Hz:1664,1664
110075,[DECEL] Step:1455 Hz:1232,1232
110174,[DECEL] Step:1555 Hz:854,854
110375,[DECEL] Step:1655 Hz:542,542
