Time_ms,Message,Hz
110475,[DECEL] Step:1755 Hz:301,301
110574,[DECEL] Step:1855 Hz:139,139
110675,[DECEL] Step:1955 Hz:59,59
110775,[DEBUG] IDLE (Motor OFF),0
21570,[ACCEL] Step:45 Hz:56,56
21671,[ACCEL] Step:145 Hz:116,116
21870,[ACCEL] Step:245 Hz:237,237
21971,[ACCEL] Step:345 Hz:417,417
22070,[ACCEL] Step:445 Hz:651,651
22170,[ACCEL] Step:545 Hz:933,933
22271,[ACCEL] Step:645 Hz:1257,1257
22471,[ACCEL] Step:745 Hz:1614,1614
22571,[ACCEL] Step:845 Hz:1996,1996
22670,[ACCEL] Step:945 Hz:2393,2393
22771,[ACCEL] Step:1045 Hz:2795,2795
22971,[ACCEL] Step:1145 Hz:3193,3193
23071,[ACCEL] Step:1245 Hz:3577,3577
23171,[ACCEL] Step:1345 Hz:3937,3937
23271,[ACCEL] Step:1445 Hz:4264,4264
23370,[ACCEL] Step:1545 Hz:4551,4551
23571,[ACCEL] Step:1645 Hz:4790,4790
23671,[ACCEL] Step:1745 Hz:4976,4976
23771,[ACCEL] Step:1845 Hz:5103,5103
23871,[ACCEL] Step:1945 Hz:5169,5169
23971,[DEBUG] RUN START,0
42170,[DECEL] Step:76 Hz:5161,5161
42370,[DECEL] Step:176 Hz:5082,5082
42471,[DECEL] Step:276 Hz:4942,4942
42570,[DECEL] Step:376 Hz:4745,4745
42671,[DECEL] Step:476 Hz:4495,4495
42871,[DECEL] Step:576 Hz:4200,4200
42971,[DECEL] Step:676 Hz:3865,3865
43071,[DECEL] Step:776 Hz:3499,3499
43171,[DECEL] Step:876 Hz:3111,3111
43271,[DECEL] Step:976 Hz:2712,2712
43471,[DECEL] Step:1076 Hz:2310,2310
43571,[DECEL] Step:1176 Hz:1915,1915
43671,[DECEL] Step:1276 Hz:1538,1538
43771,[DECEL] Step:1376 Hz:1187,1187
43870,[DECEL] Step:1476 Hz:871,871
44070,[DECEL] Step:1576 Hz:599,599
44170,[DECEL] Step:1676 Hz:376,376
44270,[DECEL] Step:1776 Hz:208,208
44371,[DECEL] Step:1876 Hz:99,99
44471,[DECEL] Step:1976 Hz:52,52
44573,[DEBUG] IDLE (Motor OFF),0
