Timestamp_PC,Event_Type,Description,Last_Temp,Last_Target
2026-02-10 17:34:00,ERROR_TRIGGERED,Safety System Triggered: NTC_DISCONNECTED,0.0,250.0
2026-02-10 17:34:04,SYSTEM_RECOVERED,System returned to NORMAL state,69.31,250.0
2026-02-10 17:38:57,ERROR_TRIGGERED,Safety System Triggered: HEATING_TIMEOUT,58.28,250.0
2026-02-10 17:39:31,SYSTEM_RECOVERED,System returned to NORMAL state,57.94,250.0
2026-02-10 17:39:31,ERROR_TRIGGERED,Safety System Triggered: HEATING_TIMEOUT,57.91,250.0
2026-02-10 17:39:38,SYSTEM_RECOVERED,System returned to NORMAL state,57.61,250.0
2026-02-10 17:39:38,ERROR_TRIGGERED,Safety System Triggered: HEATING_TIMEOUT,57.64,250.0
2026-02-10 17:39:44,SYSTEM_RECOVERED,System returned to NORMAL state,57.39,250.0
